locus_tag	ftype	length_bp	gene	EC_number	COG	product
AOKDPPHH_00139	CDS	702	rsuA	5.4.99.19	COG1187	Ribosomal small subunit pseudouridine synthase A
AOKDPPHH_00140	CDS	690		3.1.3.-	COG0637	Phosphorylated carbohydrates phosphatase
AOKDPPHH_00141	CDS	1209	fabB_1	2.3.1.41		3-oxoacyl-[acyl-carrier-protein] synthase 1
AOKDPPHH_00142	CDS	516	fabA	4.2.1.59		3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase
AOKDPPHH_00143	CDS	1458	dinB	2.7.7.7		DNA polymerase IV
AOKDPPHH_00144	CDS	639				hypothetical protein
AOKDPPHH_00145	CDS	174				hypothetical protein
AOKDPPHH_00146	CDS	717	dmlR_2			HTH-type transcriptional regulator DmlR
AOKDPPHH_00147	CDS	735	cbbZC	3.1.3.18	COG0546	Phosphoglycolate phosphatase, chromosomal
AOKDPPHH_00148	CDS	1842	btuB_1		COG4206	Vitamin B12 transporter BtuB
AOKDPPHH_00149	CDS	579	pspB	3.1.3.3	COG0406	Putative phosphoserine phosphatase 2
AOKDPPHH_00150	CDS	363				hypothetical protein
AOKDPPHH_00151	CDS	483	msrC	1.8.4.14	COG1956	Free methionine-R-sulfoxide reductase
AOKDPPHH_00152	CDS	687	bioD1	6.3.3.3	COG0132	ATP-dependent dethiobiotin synthetase BioD 1
AOKDPPHH_00153	CDS	1443	hisC_1	2.6.1.9		Histidinol-phosphate aminotransferase
AOKDPPHH_00154	CDS	738	msrA_1	1.8.4.11		Peptide methionine sulfoxide reductase MsrA
AOKDPPHH_00155	CDS	1767	dipZ		COG0785	Protein DipZ
AOKDPPHH_00156	CDS	396	msrB_2	1.8.4.12		Peptide methionine sulfoxide reductase MsrB
AOKDPPHH_00157	CDS	720	phoP_1		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP
AOKDPPHH_00158	CDS	1476	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
AOKDPPHH_00159	CDS	354				hypothetical protein
AOKDPPHH_00160	CDS	363	queD	4.1.2.50	COG0720	6-carboxy-5,6,7,8-tetrahydropterin synthase
AOKDPPHH_00161	CDS	2640	btuB_2			Vitamin B12 transporter BtuB
AOKDPPHH_00162	CDS	2595				hypothetical protein
AOKDPPHH_00163	CDS	1413	rhlE	3.6.4.13		ATP-dependent RNA helicase RhlE
AOKDPPHH_00164	CDS	90				hypothetical protein
AOKDPPHH_00165	CDS	336				hypothetical protein
AOKDPPHH_00166	CDS	654				hypothetical protein
AOKDPPHH_00167	CDS	669	nagL	5.2.1.4		Maleylpyruvate isomerase
AOKDPPHH_00168	CDS	1497				hypothetical protein
AOKDPPHH_00169	CDS	1077				hypothetical protein
AOKDPPHH_00170	CDS	1128	pilT_1		COG2805	Twitching mobility protein
AOKDPPHH_00171	CDS	366				hypothetical protein
AOKDPPHH_00172	CDS	885				hypothetical protein
AOKDPPHH_00173	CDS	165				hypothetical protein
AOKDPPHH_00174	CDS	237				hypothetical protein
AOKDPPHH_00175	CDS	1371	cbs	4.2.1.22	COG0031	Putative cystathionine beta-synthase
AOKDPPHH_00176	CDS	273				hypothetical protein
AOKDPPHH_00177	CDS	921	metC	4.4.1.13	COG0626	Cystathionine beta-lyase
AOKDPPHH_00178	CDS	1035				hypothetical protein
AOKDPPHH_00179	CDS	795				hypothetical protein
AOKDPPHH_00180	CDS	1272	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
AOKDPPHH_00181	CDS	1395				hypothetical protein
AOKDPPHH_00182	CDS	3633	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
AOKDPPHH_00183	CDS	1035	gmd	4.2.1.47	COG1089	GDP-mannose 4,6-dehydratase
AOKDPPHH_00184	CDS	891	tld	1.1.1.135	COG0451	GDP-6-deoxy-D-talose 4-dehydrogenase
AOKDPPHH_00185	CDS	2172				hypothetical protein
AOKDPPHH_00186	CDS	348				hypothetical protein
AOKDPPHH_00187	CDS	1137	mshA_2	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
AOKDPPHH_00188	CDS	1431	cyoE	2.5.1.141		Protoheme IX farnesyltransferase
AOKDPPHH_00189	CDS	1410	algA		COG0662	Alginate biosynthesis protein AlgA
AOKDPPHH_00190	CDS	696	algC	5.4.2.2	COG1109	Phosphomannomutase/phosphoglucomutase
AOKDPPHH_00191	CDS	942	etfA		COG2025	Electron transfer flavoprotein subunit alpha
AOKDPPHH_00192	CDS	747	etfB			Electron transfer flavoprotein subunit beta
AOKDPPHH_00193	CDS	1056	rffG	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase 2
AOKDPPHH_00194	CDS	1443	cugP	2.7.7.9		UTP--glucose-1-phosphate uridylyltransferase
AOKDPPHH_00195	CDS	900	rfbD	1.1.1.133	COG1091	dTDP-4-dehydrorhamnose reductase
AOKDPPHH_00196	CDS	732	scoA	2.8.3.5	COG1788	putative succinyl-CoA:3-ketoacid coenzyme A transferase subunit A
AOKDPPHH_00197	CDS	633	scoB	2.8.3.5	COG2057	putative succinyl-CoA:3-ketoacid coenzyme A transferase subunit B
AOKDPPHH_00198	CDS	588				hypothetical protein
AOKDPPHH_00199	CDS	642				hypothetical protein
AOKDPPHH_00200	CDS	927				hypothetical protein
AOKDPPHH_00201	CDS	828	mkl		COG1127	putative ribonucleotide transport ATP-binding protein mkl
AOKDPPHH_00202	CDS	1035				hypothetical protein
AOKDPPHH_00203	CDS	1260				hypothetical protein
AOKDPPHH_00204	CDS	381	hvrA			Trans-acting regulatory protein HvrA
AOKDPPHH_00205	CDS	1815	proS	6.1.1.15	COG0442	Proline--tRNA ligase
AOKDPPHH_00206	CDS	378				hypothetical protein
AOKDPPHH_00207	CDS	777				hypothetical protein
AOKDPPHH_00208	CDS	477				hypothetical protein
AOKDPPHH_00209	CDS	498	rimI	2.3.1.266	COG0456	[Ribosomal protein S18]-alanine N-acetyltransferase
AOKDPPHH_00210	CDS	822				hypothetical protein
AOKDPPHH_00211	CDS	2844	valS	6.1.1.9	COG0525	Valine--tRNA ligase
AOKDPPHH_00212	CDS	426	holC	2.7.7.7	COG2927	DNA polymerase III subunit chi
AOKDPPHH_00213	CDS	1479	pepA_1	3.4.11.1		putative cytosol aminopeptidase
AOKDPPHH_00214	CDS	426				hypothetical protein
AOKDPPHH_00215	CDS	1107	lptG		COG0795	Lipopolysaccharide export system permease protein LptG
AOKDPPHH_00216	CDS	531				hypothetical protein
AOKDPPHH_00217	CDS	756	xerD		COG4974	Tyrosine recombinase XerD
AOKDPPHH_00218	CDS	786	dsbC		COG1651	Thiol:disulfide interchange protein DsbC
AOKDPPHH_00219	CDS	2100				hypothetical protein
AOKDPPHH_00220	CDS	165				hypothetical protein
AOKDPPHH_00221	CDS	927	purL_1	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase
AOKDPPHH_00222	CDS	2862	purL_2	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase
AOKDPPHH_00223	CDS	621				hypothetical protein
AOKDPPHH_00224	CDS	7392				hypothetical protein
AOKDPPHH_00225	CDS	1905	bprV_1	3.4.21.-	COG1404	Extracellular basic protease
AOKDPPHH_00226	CDS	1554	xpsE_1		COG2804	Type II secretion system protein E
AOKDPPHH_00227	CDS	168	xpsE_2		COG2804	Type II secretion system protein E
AOKDPPHH_00228	CDS	1221	epsF_1		COG1459	Type II secretion system protein F
AOKDPPHH_00229	CDS	444	xcpT		COG2165	Type II secretion system protein G
AOKDPPHH_00230	CDS	495				hypothetical protein
AOKDPPHH_00231	CDS	417				hypothetical protein
AOKDPPHH_00232	CDS	1479				hypothetical protein
AOKDPPHH_00233	CDS	1158				hypothetical protein
AOKDPPHH_00234	CDS	699				hypothetical protein
AOKDPPHH_00235	CDS	807				hypothetical protein
AOKDPPHH_00236	CDS	204				hypothetical protein
AOKDPPHH_00237	CDS	2004	xpsD		COG1450	Secretin XpsD
AOKDPPHH_00238	CDS	852				hypothetical protein
AOKDPPHH_00239	CDS	840	wbbL	2.4.1.289	COG1216	N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase
AOKDPPHH_00240	CDS	1227	pncB2	6.3.4.21	COG1488	Nicotinate phosphoribosyltransferase 2
AOKDPPHH_00241	CDS	366				hypothetical protein
AOKDPPHH_00242	CDS	540	smf-1		COG3539	Major fimbrial subunit SMF-1
AOKDPPHH_00243	CDS	663	yadV			putative fimbrial chaperone YadV
AOKDPPHH_00244	CDS	2244				hypothetical protein
AOKDPPHH_00245	CDS	975	mrkD			Fimbria adhesin protein
AOKDPPHH_00246	CDS	1539	bcsE			Cyclic di-GMP binding protein BcsE
AOKDPPHH_00247	CDS	180				hypothetical protein
AOKDPPHH_00248	CDS	1638	bcsG			Cellulose biosynthesis protein BcsG
AOKDPPHH_00249	CDS	177				hypothetical protein
AOKDPPHH_00250	CDS	756	bcsQ			Cellulose biosynthesis protein BcsQ
AOKDPPHH_00251	CDS	3132	bcsA	2.4.1.12	COG1215	Cellulose synthase catalytic subunit [UDP-forming]
AOKDPPHH_00252	CDS	1908	bcsB			Cyclic di-GMP-binding protein
AOKDPPHH_00253	CDS	2835	bcsC_1		COG0457	Cellulose synthase operon protein C
AOKDPPHH_00254	CDS	750	bcsC_2		COG0457	Cellulose synthase operon protein C
AOKDPPHH_00255	CDS	1068	bcsZ	3.2.1.4	COG3405	Endoglucanase
AOKDPPHH_00256	CDS	1317	adeP		COG2252	Adenine permease AdeP
AOKDPPHH_00257	CDS	177	ettA_2		COG0488	Energy-dependent translational throttle protein EttA
AOKDPPHH_00258	CDS	1491	ettA_3		COG0488	Energy-dependent translational throttle protein EttA
AOKDPPHH_00259	CDS	480				hypothetical protein
AOKDPPHH_00260	CDS	1254	glyA	2.1.2.1	COG0112	Serine hydroxymethyltransferase
AOKDPPHH_00261	CDS	447				hypothetical protein
AOKDPPHH_00262	CDS	522	nrdR		COG1327	Transcriptional repressor NrdR
AOKDPPHH_00263	CDS	333	tadA_1	3.5.4.33		tRNA-specific adenosine deaminase
AOKDPPHH_00264	CDS	783	ribD		COG0117	Riboflavin biosynthesis protein RibD
AOKDPPHH_00265	CDS	654				hypothetical protein
AOKDPPHH_00266	CDS	1083				hypothetical protein
AOKDPPHH_00267	CDS	930				hypothetical protein
AOKDPPHH_00268	CDS	624				hypothetical protein
AOKDPPHH_00269	CDS	288	ribE	2.5.1.9	COG0307	Riboflavin synthase
AOKDPPHH_00270	CDS	1101	ribBA		COG0108	Riboflavin biosynthesis protein RibBA
AOKDPPHH_00271	CDS	555	ribH	2.5.1.78		6,7-dimethyl-8-ribityllumazine synthase
AOKDPPHH_00272	CDS	480	nusB		COG0781	Transcription antitermination protein NusB
AOKDPPHH_00273	CDS	2154				hypothetical protein
AOKDPPHH_00274	CDS	369				hypothetical protein
AOKDPPHH_00275	CDS	1722	lpoA			Penicillin-binding protein activator LpoA
AOKDPPHH_00276	CDS	348	rsmI	2.1.1.198	COG0313	Ribosomal RNA small subunit methyltransferase I
AOKDPPHH_00277	CDS	738				hypothetical protein
AOKDPPHH_00278	CDS	507	mraZ		COG2001	Transcriptional regulator MraZ
AOKDPPHH_00279	CDS	969	rsmH	2.1.1.199	COG0275	Ribosomal RNA small subunit methyltransferase H
AOKDPPHH_00280	CDS	264	ftsL			Cell division protein FtsL
AOKDPPHH_00281	CDS	342	ftsI_1	3.4.16.4		Peptidoglycan D,D-transpeptidase FtsI
AOKDPPHH_00282	CDS	1521	ftsI_2	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase FtsI
AOKDPPHH_00283	CDS	1500	murE	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
AOKDPPHH_00284	CDS	1395	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
AOKDPPHH_00285	CDS	1086	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
AOKDPPHH_00286	CDS	1317	ftsW	2.4.1.129	COG0772	putative peptidoglycan glycosyltransferase FtsW
AOKDPPHH_00287	CDS	1089	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
AOKDPPHH_00288	CDS	273	murC_1	6.3.2.8	COG0773	UDP-N-acetylmuramate--L-alanine ligase
AOKDPPHH_00289	CDS	1164	murC_2	6.3.2.8	COG0773	UDP-N-acetylmuramate--L-alanine ligase
AOKDPPHH_00290	CDS	963	ddlB	6.3.2.4	COG1181	D-alanine--D-alanine ligase B
AOKDPPHH_00291	CDS	750	ftsQ		COG1589	Cell division protein FtsQ
AOKDPPHH_00292	CDS	1236	ftsA_1		COG0849	Cell division protein FtsA
AOKDPPHH_00293	CDS	1236	ftsZ		COG0206	Cell division protein FtsZ
AOKDPPHH_00294	CDS	912	lpxC	3.5.1.108	COG0774	UDP-3-O-acyl-N-acetylglucosamine deacetylase
AOKDPPHH_00295	CDS	450				hypothetical protein
AOKDPPHH_00296	CDS	954				hypothetical protein
AOKDPPHH_00297	CDS	2733	secA		COG0653	Protein translocase subunit SecA
AOKDPPHH_00298	CDS	954	thiE_1	2.5.1.3		Thiamine-phosphate synthase
AOKDPPHH_00299	CDS	579				hypothetical protein
AOKDPPHH_00300	CDS	828	metF	1.5.1.20	COG0685	5,10-methylenetetrahydrofolate reductase
AOKDPPHH_00301	CDS	276				hypothetical protein
AOKDPPHH_00302	CDS	174				hypothetical protein
AOKDPPHH_00303	CDS	609				hypothetical protein
AOKDPPHH_00304	CDS	1446	ahcY	3.3.1.1		Adenosylhomocysteinase
AOKDPPHH_00305	CDS	2355				hypothetical protein
AOKDPPHH_00306	CDS	1128	ppc_1	4.1.1.31	COG2352	Phosphoenolpyruvate carboxylase
AOKDPPHH_00307	CDS	1539	ppc_2	4.1.1.31	COG2352	Phosphoenolpyruvate carboxylase
AOKDPPHH_00308	CDS	354				hypothetical protein
AOKDPPHH_00309	CDS	1212	metK	2.5.1.6	COG0192	S-adenosylmethionine synthase
AOKDPPHH_00310	CDS	1710				hypothetical protein
AOKDPPHH_00311	CDS	804	lpxH_1	3.6.1.54		UDP-2,3-diacylglucosamine hydrolase
AOKDPPHH_00312	CDS	1077				hypothetical protein
AOKDPPHH_00313	CDS	1005				hypothetical protein
AOKDPPHH_00314	CDS	1860				hypothetical protein
AOKDPPHH_00315	CDS	828	COQ5_1	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
AOKDPPHH_00316	CDS	996	dusB	1.3.1.-	COG0042	tRNA-dihydrouridine synthase B
AOKDPPHH_00317	CDS	966	rbsK	2.7.1.15	COG0524	Ribokinase
AOKDPPHH_00318	CDS	1299	nupX		COG1972	Putative nucleoside permease NupX
AOKDPPHH_00319	CDS	972	gpr	1.1.1.-	COG0667	L-glyceraldehyde 3-phosphate reductase
AOKDPPHH_00320	CDS	201				hypothetical protein
AOKDPPHH_00321	CDS	1269	btuB_3			Vitamin B12 transporter BtuB
AOKDPPHH_00322	CDS	285				hypothetical protein
AOKDPPHH_00323	CDS	612			COG1629	putative hemoglobin and hemoglobin-haptoglobin-binding protein 1
AOKDPPHH_00324	CDS	600				hypothetical protein
AOKDPPHH_00325	CDS	927				hypothetical protein
AOKDPPHH_00326	CDS	171				hypothetical protein
AOKDPPHH_00327	CDS	2340				hypothetical protein
AOKDPPHH_00328	CDS	648	lolD_1	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
AOKDPPHH_00329	CDS	345	tesA_1	3.1.1.1	COG2755	Esterase TesA
AOKDPPHH_00330	CDS	201	tesA_2	3.1.1.1	COG2755	Esterase TesA
AOKDPPHH_00331	CDS	90	tesA_3	3.1.1.1	COG2755	Esterase TesA
AOKDPPHH_00332	CDS	714	mprA_1		COG0745	Response regulator MprA
AOKDPPHH_00333	CDS	300				hypothetical protein
AOKDPPHH_00334	CDS	1032	qseC	2.7.13.3		Sensor protein QseC
AOKDPPHH_00335	CDS	702				hypothetical protein
AOKDPPHH_00336	CDS	396	dgkA	2.7.1.107	COG0818	Diacylglycerol kinase
AOKDPPHH_00337	CDS	750				hypothetical protein
AOKDPPHH_00338	CDS	1161	ydhP_1		COG2814	Inner membrane transport protein YdhP
AOKDPPHH_00339	CDS	621	lemA		COG1704	Protein LemA
AOKDPPHH_00340	CDS	888				hypothetical protein
AOKDPPHH_00341	CDS	372				hypothetical protein
AOKDPPHH_00342	CDS	690	lgt_1	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
AOKDPPHH_00343	CDS	195	lgt_2	2.5.1.145		Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
AOKDPPHH_00344	CDS	795	thyA	2.1.1.45	COG0207	Thymidylate synthase
AOKDPPHH_00345	CDS	1266	apaH	3.6.1.41		Bis(5'-nucleosyl)-tetraphosphatase, symmetrical
AOKDPPHH_00346	CDS	384	apaG		COG2967	Protein ApaG
AOKDPPHH_00347	CDS	804	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
AOKDPPHH_00348	CDS	981	pdxA	1.1.1.262	COG1995	4-hydroxythreonine-4-phosphate dehydrogenase
AOKDPPHH_00349	CDS	1218	surA	5.2.1.8	COG0760	Chaperone SurA
AOKDPPHH_00350	CDS	2388	lptD		COG1452	LPS-assembly protein LptD
AOKDPPHH_00351	CDS	1098		3.5.1.-	COG0123	Histone deacetylase-like amidohydrolase
AOKDPPHH_00352	CDS	555	cobO	2.5.1.-	COG2096	Cobalamin adenosyltransferase
AOKDPPHH_00353	CDS	633				hypothetical protein
AOKDPPHH_00354	CDS	1218	ubiH	1.14.13.-	COG0654	2-octaprenyl-6-methoxyphenol hydroxylase
AOKDPPHH_00355	CDS	471	ubiI	1.14.13.240	COG0654	2-octaprenylphenol hydroxylase
AOKDPPHH_00356	CDS	279	ubiL	1.14.13.-	COG0654	Ubiquinone hydroxylase UbiL
AOKDPPHH_00357	CDS	198				hypothetical protein
AOKDPPHH_00358	CDS	228				hypothetical protein
